Date,DAX,FTSE
1992-09-21,-0.9734,-0.2688
1992-09-22,-1.4944,1.0117
1992-09-23,0.4831,-0.2088
1992-09-24,-1.7261,1.5733
1992-09-25,-1.1483,-0.7706
1992-09-28,-2.5321,-1.5763
1992-09-29,0.0827,0.2148
1992-09-30,-0.6706,-0.4872
1992-10-01,1.205,0.756
1992-10-02,-0.4036,-0.8786
1992-10-05,-3.6291,-4.0554
1992-10-06,-0.2878,1.721
1992-10-07,1.1089,1.1534
1992-10-08,1.0494,0.8621
1992-10-09,-0.7897,0.0945
1992-10-12,-0.4946,0.6296
1992-10-13,2.3008,1.0754
1992-10-14,-0.4756,-0.3869
1992-10-15,-0.3497,-1.0914
1992-10-16,0.5628,0.6793
1992-10-19,1.1946,-0.0663
1992-10-20,2.196,2.1388
1992-10-21,-0.5061,1.0967
1992-10-22,0.4129,0.4687
1992-10-23,1.1065,0.4364
1992-10-26,1.0263,-0.3034
1992-10-27,-0.5653,0.3081
1992-10-28,-1.5302,-0.7266
1992-10-29,-1.1031,-0.3056
1992-10-30,-0.0884,0.6055
1992-11-02,-1.3234,1.1097
1992-11-03,0.8441,0.6623
1992-11-04,-0.829,-0.5137
1992-11-05,0.5595,0.7207
1992-11-06,0.4207,-0.3098
1992-11-09,1.4551,-0.2701
1992-11-10,0.68,0.7123
1992-11-11,-0.4509,-0.6557
1992-11-12,1.5315,1.0976
1992-11-13,0.8565,-1.06
1992-11-16,-0.1014,-0.6636
1992-11-17,-0.1228,-0.0149
1992-11-18,0.0,0.9256
1992-11-19,0.4272,0.0814
1992-11-20,-0.444,0.9681
1992-11-23,-0.8979,-0.3477
1992-11-24,-1.3463,0.1542
1992-11-25,0.4926,-0.6417
1992-11-26,0.3598,1.1884
1992-11-27,-0.0151,0.6674
1992-11-30,1.4045,0.6775
1992-12-01,0.0356,0.475
1992-12-02,-0.7075,-0.9993
1992-12-03,-0.0952,0.2496
1992-12-04,-0.6747,-0.4186
1992-12-07,0.2076,-0.1776
1992-12-08,-1.1198,0.5555
1992-12-09,-0.5072,-0.6896
1992-12-10,-0.4072,-0.8798
1992-12-11,-1.2359,-0.3778
1992-12-14,-0.4241,0.2062
1992-12-15,0.7818,-0.1433
1992-12-16,-0.6191,0.5482
1992-12-17,0.2785,0.2744
1992-12-18,1.0751,1.8027
1992-12-21,1.5777,0.6452
1992-12-22,0.5272,1.2216
1992-12-23,0.2218,-0.5137
1992-12-24,0.0,0.0035
1992-12-25,0.0,0.0
1992-12-28,1.1566,0.0
1992-12-29,-0.1541,0.7179
1992-12-30,0.1829,-0.5373
1992-12-31,0.0,0.4943
1993-01-01,0.0,0.0
1993-01-04,-0.888,0.527
1993-01-05,1.6384,-0.975
1993-01-06,-0.0026,-0.2682
1993-01-07,-0.8918,-0.3362
1993-01-08,-0.7118,-0.6142
1993-01-11,0.0287,-0.9217
1993-01-12,-0.1155,-0.5589
1993-01-13,-0.8947,-0.4569
1993-01-14,0.4774,0.5063
1993-01-15,1.3657,0.2138
1993-01-18,1.8504,-0.0723
1993-01-19,0.3623,-0.9229
1993-01-20,-0.2502,0.4055
1993-01-21,-0.0768,0.895
1993-01-22,0.8877,0.2849
1993-01-25,-1.159,-0.3344
1993-01-26,0.441,2.3017
1993-01-27,-0.8781,-0.1128
1993-01-28,0.3533,-0.5508
1993-01-29,0.2558,-0.3444
1993-02-01,0.8468,1.5816
1993-02-02,-0.1306,-0.6032
1993-02-03,1.1648,1.3901
1993-02-04,0.005,-0.2749
1993-02-05,2.4825,-0.1047
1993-02-08,0.3528,0.248
1993-02-09,-0.3388,-1.3484
1993-02-10,0.5013,-0.5263
1993-02-11,0.0752,0.6356
1993-02-12,0.6287,0.307
1993-02-15,0.1974,0.102
1993-02-16,-0.0294,-1.1842
1993-02-17,-0.6586,0.064
1993-02-18,1.1492,0.8422
1993-02-19,0.3068,0.0811
1993-02-22,0.1997,-0.0599
1993-02-23,-1.14,-0.7152
1993-02-24,-1.0436,-0.0355
1993-02-25,0.8922,0.4153
1993-02-26,1.5335,1.3893
1993-03-01,0.9855,0.5091
1993-03-02,-0.2475,-0.0104
1993-03-03,-0.1774,1.2594
1993-03-04,-0.3737,-0.4728
1993-03-05,-0.2714,0.5956
1993-03-08,0.7131,1.2046
1993-03-09,1.0804,-0.2502
1993-03-10,-0.2014,0.2305
1993-03-11,0.4515,-0.1116
1993-03-12,-0.5974,-1.2697
1993-03-15,-0.2677,0.2229
1993-03-16,-0.2784,-0.1061
1993-03-17,-0.751,-1.0071
1993-03-18,0.6593,-0.353
1993-03-19,0.1545,0.7084
1993-03-22,-2.2021,-1.2482
1993-03-23,-0.7801,-0.0978
1993-03-24,0.6679,-0.0175
1993-03-25,-0.1386,-0.2727
1993-03-26,0.2498,0.0035
1993-03-29,0.8204,-0.2243
1993-03-30,0.606,0.5094
1993-03-31,-0.051,0.6187
1993-04-01,-0.7499,-0.0104
1993-04-02,-0.5881,-0.2953
1993-04-05,-0.1841,-1.0837
1993-04-06,0.4045,-0.2325
1993-04-07,-0.9061,-0.3566
1993-04-08,0.3284,-0.0106
1993-04-09,0.0,0.0
1993-04-12,0.0,0.0
1993-04-13,0.9253,0.886
1993-04-14,0.0832,-0.1651
1993-04-15,0.1656,-0.0844
1993-04-16,0.2173,-0.5388
1993-04-19,0.8607,0.1983
1993-04-20,-0.3656,0.9223
1993-04-21,-1.1997,0.4727
1993-04-22,-0.0078,0.4008
1993-04-23,-0.5784,-1.2946
1993-04-26,-0.4399,-0.756
1993-04-27,-0.5473,0.3685
1993-04-28,-0.7259,-1.2497
1993-04-29,-0.3027,-0.3754
