y,slope(-1),Rme(-1),rec(-1),c
0.0,0.89492,0.0029,0.0,1.0
0.0,0.91134,0.0265,0.0,1.0
0.0,0.80314,0.0048,0.0,1.0
0.0,0.73344,0.0319,0.0,1.0
0.0,0.65301,0.0344,0.0,1.0
0.0,0.6593,0.0006,0.0,1.0
0.0,0.69418,-0.0768,0.0,1.0
0.0,0.60472,0.0169,0.0,1.0
0.0,0.30298,-0.0957,0.0,1.0
0.0,0.2164,0.084,0.0,1.0
0.0,0.19724,0.034,0.0,1.0
0.0,0.09006,0.011,0.0,1.0
0.0,0.10136,0.0397,0.0,1.0
0.0,0.01472,-0.0694,0.0,1.0
0.0,-0.06672,0.0693,0.0,1.0
0.0,0.0039,0.0119,0.0,1.0
0.0,-0.26757,-0.0258,0.0,1.0
0.0,-0.15853,0.0143,0.0,1.0
0.0,0.07225,0.0206,0.0,1.0
0.0,0.2408,0.0388,0.0,1.0
0.0,0.29994,0.0277,0.0,1.0
0.0,0.2218,-0.0011,0.0,1.0
1.0,0.01615,-0.0813,0.0,1.0
1.0,0.57613,-0.1339,1.0,1.0
0.0,0.4878,0.1365,1.0,1.0
0.0,0.51774,0.0558,0.0,1.0
0.0,0.54731,0.0246,0.0,1.0
0.0,0.47806,0.0577,0.0,1.0
0.0,0.52788,0.0763,0.0,1.0
0.0,0.55768,-0.0363,0.0,1.0
0.0,0.67688,-0.021,0.0,1.0
0.0,0.76622,0.1247,0.0,1.0
0.0,0.83569,0.0463,0.0,1.0
0.0,0.9842,-0.0003,0.0,1.0
0.0,1.19212,0.0278,0.0,1.0
0.0,1.54717,0.0308,0.0,1.0
0.0,1.5867,0.0493,0.0,1.0
0.0,1.56702,0.0029,0.0,1.0
0.0,1.45856,0.0275,0.0,1.0
