Date,ln std,ln std(-1),ln std(-2),ln VIX(-1),ln VIX(-2),R(-1),R(-2)
2009-04-20,3.70297,3.81526,3.64492,3.69038,3.75957,-3.92942,-5.15606
2009-05-20,3.24632,3.70297,3.81526,3.66817,3.69038,4.78882,-3.92942
2009-06-22,3.1292,3.24632,3.70297,3.36833,3.66817,8.53927,4.78882
2009-07-23,3.04708,3.1292,3.24632,3.43946,3.36833,-1.15444,8.53927
2009-08-24,2.7573,3.04708,3.1292,3.15402,3.43946,9.32209,-1.15444
2009-09-24,2.6043,2.7573,3.04708,3.22446,3.15402,5.04768,9.32209
2009-10-26,2.84209,2.6043,2.7573,3.21687,3.22446,2.45815,5.04768
2009-11-25,2.96716,2.84209,2.6043,3.19089,3.21687,1.53886,2.45815
2009-12-29,2.43346,2.96716,2.84209,3.01945,3.19089,4.09391,1.53886
2010-02-01,2.77572,2.43346,2.96716,2.99623,3.01945,1.40191,4.09391
2010-03-04,2.77525,2.77572,2.43346,3.11751,2.99623,-3.28627,1.40191
2010-04-07,2.03861,2.77525,2.77572,2.92959,3.11751,3.10139,-3.28627
2010-05-10,3.18195,2.03861,2.77525,2.81061,2.92959,3.86034,3.10139
2010-06-10,3.36514,3.18195,2.03861,3.36176,2.81061,-2.25127,3.86034
2010-07-13,3.0158,3.36514,3.18195,3.42002,3.36176,-6.28508,-2.25127
2010-08-12,2.97846,3.0158,3.36514,3.20112,3.42002,0.78208,-6.28508
2010-09-14,2.86177,2.97846,3.0158,3.24766,3.20112,-1.0709,0.78208
2010-10-14,2.54029,2.86177,2.97846,3.07084,3.24766,3.45973,-1.0709
2010-11-15,2.43214,2.54029,2.86177,2.98971,3.07084,4.70163,3.45973
2010-12-16,2.6456,2.43214,2.54029,3.00568,2.98971,2.03951,4.70163
2011-01-19,1.95899,2.6456,2.43214,2.8559,3.00568,3.76706,2.03951
2011-02-18,2.26203,1.95899,2.6456,2.85128,2.8559,3.14192,3.76706
2011-03-23,2.86654,2.26203,1.95899,2.79911,2.85128,4.76551,3.14192
2011-04-25,2.16526,2.86654,2.26203,2.95335,2.79911,-3.38568,4.76551
2011-05-25,2.32997,2.16526,2.86654,2.75811,2.95335,2.90627,-3.38568
2011-06-27,2.73179,2.32997,2.16526,2.83732,2.75811,-1.10691,2.90627
2011-07-28,2.74491,2.73179,2.32997,3.02335,2.83732,-3.05724,-1.10691
2011-08-29,3.8442,2.74491,2.73179,3.16716,3.02335,1.60691,-3.05724
2011-09-29,3.28707,3.8442,2.74491,3.47445,3.16716,-6.96487,1.60691
2011-10-31,3.3928,3.28707,3.8442,3.65945,3.47445,-4.10551,-6.96487
2011-12-01,3.38998,3.3928,3.28707,3.39986,3.65945,8.00586,-4.10551
2012-01-05,2.89107,3.38998,3.3928,3.31091,3.39986,-0.69576,8.00586
2012-02-07,2.0996,2.89107,3.38998,3.06712,3.31091,2.93111,-0.69576
2012-03-09,2.23849,2.0996,2.89107,2.87074,3.06712,5.1512,2.93111
2012-04-12,2.53353,2.23849,2.0996,2.83966,2.87074,1.76831,5.1512
2012-05-15,2.50158,2.53353,2.23849,2.84491,2.83966,-0.60031,1.76831
2012-06-15,2.86733,2.50158,2.53353,3.08968,2.84491,-2.88996,-0.60031
2012-07-18,2.77237,2.86733,2.50158,3.04975,3.08968,0.91534,-2.88996
2012-08-17,2.53725,2.77237,2.86733,2.78254,3.04975,2.2296,0.91534
2012-09-19,2.34415,2.53725,2.77237,2.59898,2.78254,3.3057,2.2296
2012-10-19,2.34129,2.34415,2.53725,2.63045,2.59898,3.02434,3.3057
2012-11-26,2.71914,2.34129,2.34415,2.83674,2.63045,-1.90685,3.02434
2012-12-28,2.29254,2.71914,2.34129,2.74084,2.83674,-0.48262,-1.90685
2013-01-31,2.36662,2.29254,2.71914,3.12325,2.74084,0.24947,-0.48262
2013-03-05,2.51118,2.36662,2.29254,2.65886,3.12325,6.82244,0.24947
2013-04-05,2.07653,2.51118,2.36662,2.60121,2.65886,2.78217,6.82244
2013-05-07,2.6382,2.07653,2.51118,2.63333,2.60121,0.87609,2.78217
2013-06-07,2.45531,2.6382,2.07653,2.55179,2.63333,4.67913,0.87609
2013-07-10,2.7089,2.45531,2.6382,2.71734,2.55179,1.07137,4.67913
2013-08-09,2.02404,2.7089,2.45531,2.65395,2.71734,0.56226,1.07137
2013-09-11,2.35059,2.02404,2.7089,2.596,2.65395,2.34779,0.56226
2013-10-11,2.50413,2.35059,2.02404,2.62612,2.596,-0.13539,2.34779
2013-11-12,2.28679,2.50413,2.35059,2.75493,2.62612,0.83297,-0.13539
2013-12-13,2.07707,2.28679,2.50413,2.55101,2.75493,3.7864,0.83297
2014-01-16,2.25004,2.07707,2.28679,2.75748,2.55101,0.43164,3.7864
2014-02-19,2.71968,2.25004,2.07707,2.52813,2.75748,3.97506,0.43164
2014-03-21,2.24732,2.71968,2.25004,2.74084,2.52813,-0.92855,3.97506
2014-04-23,2.54958,2.24732,2.71968,2.70805,2.74084,2.06535,-0.92855
2014-05-23,2.10503,2.54958,2.24732,2.58551,2.70805,0.47522,2.06535
2014-06-25,1.77373,2.10503,2.54958,2.4301,2.58551,1.34052,0.47522
2014-07-28,2.05227,1.77373,2.10503,2.45014,2.4301,3.1044,1.34052
2014-08-27,2.34334,2.05227,1.77373,2.53052,2.45014,0.98901,3.1044
2014-09-29,2.20747,2.34334,2.05227,2.4664,2.53052,1.0718,0.98901
2014-10-29,2.88076,2.20747,2.34334,2.77134,2.4664,-1.11593,1.0718
2014-12-01,1.79484,2.88076,2.20747,2.718,2.77134,0.22753,-1.11593
2015-01-02,2.70333,1.79484,2.88076,2.65956,2.718,3.58876,0.22753
2015-02-04,2.85173,2.70333,1.79484,2.87864,2.65956,0.23181,3.58876
2015-03-09,2.19144,2.85173,2.70333,2.90854,2.87864,-0.8109,0.23181
2015-04-10,2.57672,2.19144,2.85173,2.71204,2.90854,1.85745,-0.8109
2015-05-13,2.26933,2.57672,2.19144,2.53211,2.71204,3.03004,1.85745
2015-06-15,2.20188,2.26933,2.57672,2.62177,2.53211,0.28914,3.03004
2015-07-16,2.54926,2.20188,2.26933,2.73372,2.62177,-0.66953,0.28914
2015-08-17,2.26177,2.54926,2.20188,2.49403,2.73372,1.91227,-0.66953
2015-09-17,3.40506,2.26177,2.54926,2.56649,2.49403,-1.02858,1.91227
2015-10-19,2.82079,3.40506,2.26177,3.05117,2.56649,-5.33856,-1.02858
2015-11-18,2.62306,2.82079,3.40506,2.70672,3.05117,2.1837,-5.33856
2015-12-21,2.79715,2.62306,2.82079,2.82435,2.70672,2.45469,2.1837
2016-01-25,3.0105,2.79715,2.62306,2.92852,2.82435,-2.99629,2.45469
2016-02-25,2.98508,3.0105,2.79715,3.18428,2.92852,-7.12812,-2.99629
2016-03-29,2.46019,2.98508,3.0105,2.95021,3.18428,3.97532,-7.12812
2016-04-28,2.26526,2.46019,2.98508,2.62612,2.95021,5.29333,3.97532
2016-05-31,2.37845,2.26526,2.46019,2.72261,2.62612,1.01216,5.29333
2016-06-30,2.89662,2.37845,2.26526,2.65254,2.72261,1.01888,1.01216
2016-08-02,2.00882,2.89662,2.37845,2.74919,2.65254,0.09061,1.01888
2016-09-01,1.64673,2.00882,2.89662,2.59301,2.74919,2.7715,0.09061
2016-10-04,2.63726,1.64673,2.00882,2.60121,2.59301,0.64116,2.7715
2016-11-03,1.91105,2.63726,1.64673,2.61227,2.60121,-0.93834,0.64116
2016-12-06,2.22243,1.91105,2.63726,3.09467,2.61227,-2.87516,-0.93834
2017-01-09,2.08638,2.22243,1.91105,2.46725,3.09467,5.91623,-2.87516
2017-02-09,1.73956,2.08638,2.22243,2.44755,2.46725,2.56167,5.91623
2017-03-14,1.87801,1.73956,2.08638,2.38693,2.44755,1.71757,2.56167
2017-04-13,1.88081,1.87801,1.73956,2.5096,2.38693,2.49494,1.71757
2017-05-16,1.80689,1.88081,1.87801,2.77009,2.5096,-1.54305,2.49494
2017-06-16,2.07145,1.80689,1.88081,2.36556,2.77009,3.0795,-1.54305
2017-07-19,2.08888,2.07145,1.80689,2.33988,2.36556,1.35296,3.0795
2017-08-18,2.09402,2.08888,2.07145,2.28136,2.33988,1.67191,1.35296
2017-09-20,1.82106,2.09402,2.08888,2.65746,2.28136,-1.95163,1.67191
2017-10-20,1.28869,1.82106,2.09402,2.28034,2.65746,3.40912,-1.95163
2017-11-21,1.76885,1.28869,1.82106,2.29958,2.28034,2.67,3.40912
2017-12-22,1.82281,1.76885,1.28869,2.27521,2.29958,0.92497,2.67
2018-01-26,1.94638,1.82281,1.76885,2.29253,2.27521,3.2439,0.92497
2018-02-28,3.21301,1.94638,1.82281,2.40514,2.29253,7.06321,3.2439
2018-04-02,3.01663,3.21301,1.94638,2.9882,2.40514,-5.53593,7.06321
2018-05-02,2.69167,3.01663,3.21301,3.16209,2.9882,-4.86213,-5.53593
